metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,80.0,60.0,58.0,56.0,54.0,57.0,63.0,62.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,80.0,60.0,58.0,56.0,54.0,57.0,63.0,62.0
Working Capital Days,-86.0,-21.0,-33.0,-23.0,-50.0,-28.0,-109.0,-117.0
ROCE %,43.0,35.0,32.0,30.0,22.0,15.0,13.0,
