metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8.0,32.0,7.0,9.0,20.0,107.0,8.0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,8.0,32.0,7.0,9.0,20.0,107.0,8.0
Working Capital Days,368.0,263.0,-516.0,760.0,1218.0,1121.0,703.0
ROCE %,1.0,-5.0,6.0,-1.0,-5.0,2.0,
