metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10.0,11.0,10.0,9.0,11.0,9.0,3.0
Inventory Days,54.0,63.0,60.0,60.0,66.0,76.0,74.0
Days Payable,1.0,1.0,3.0,2.0,3.0,6.0,4.0
Cash Conversion Cycle,63.0,73.0,66.0,67.0,73.0,79.0,73.0
Working Capital Days,14.0,23.0,22.0,31.0,39.0,37.0,36.0
ROCE %,11.0,14.0,12.0,13.0,10.0,8.0,
