metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,7.0,36.0,20.0,19.0,26.0,25.0,27.0
Inventory Days,63.0,232.0,104.0,111.0,84.0,93.0,78.0
Days Payable,62.0,161.0,71.0,58.0,66.0,81.0,67.0
Cash Conversion Cycle,8.0,106.0,52.0,73.0,45.0,36.0,37.0
Working Capital Days,-18.0,40.0,-32.0,-24.0,54.0,17.0,111.0
ROCE %,15.0,10.0,13.0,12.0,14.0,15.0,
