metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,156.0,140.0,172.0,182.0,178.0,189.0
Inventory Days,906.0,1009.0,1042.0,1055.0,1085.0,2067.0
Days Payable,986.0,748.0,599.0,396.0,459.0,536.0
Cash Conversion Cycle,77.0,401.0,615.0,840.0,804.0,1720.0
Working Capital Days,-11.0,4.0,120.0,283.0,215.0,304.0
ROCE %,22.0,16.0,21.0,12.0,12.0,
