metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30.0,31.0,34.0,28.0,35.0,33.0,36.0,38.0,31.0,28.0
Inventory Days,87.0,93.0,94.0,94.0,108.0,102.0,82.0,75.0,79.0,68.0
Days Payable,97.0,112.0,107.0,116.0,153.0,144.0,118.0,135.0,111.0,106.0
Cash Conversion Cycle,19.0,11.0,22.0,6.0,-10.0,-8.0,-1.0,-22.0,-1.0,-10.0
Working Capital Days,9.0,14.0,18.0,5.0,-9.0,-14.0,-7.0,-11.0,-2.0,19.0
ROCE %,20.0,13.0,5.0,13.0,-4.0,6.0,10.0,17.0,20.0,
