metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36.0,70.0,81.0,76.0,79.0,62.0,63.0,48.0,52.0
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,36.0,70.0,81.0,76.0,79.0,62.0,63.0,48.0,52.0
Working Capital Days,-35.0,-13.0,-26.0,-4.0,-31.0,29.0,19.0,25.0,82.0
ROCE %,108.0,43.0,39.0,28.0,20.0,16.0,17.0,17.0,
