metric,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,28.0,29.0,43.0,76.0,71.0,74.0,74.0,73.0,82.0
Inventory Days,16.0,45.0,39.0,61.0,118.0,73.0,90.0,124.0,134.0
Days Payable,33.0,67.0,63.0,101.0,111.0,81.0,107.0,129.0,147.0
Cash Conversion Cycle,12.0,7.0,18.0,37.0,78.0,67.0,57.0,68.0,69.0
Working Capital Days,-15.0,-60.0,34.0,-10.0,7.0,9.0,35.0,60.0,56.0
ROCE %,1.0,1.0,13.0,17.0,19.0,19.0,10.0,,
