metric,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,34.0,31.0,58.0,44.0,39.0,27.0,23.0,58.0
Inventory Days,21.0,13.0,70.0,32.0,18.0,15.0,11.0,18.0
Days Payable,111.0,69.0,254.0,131.0,310.0,368.0,461.0,514.0
Cash Conversion Cycle,-56.0,-25.0,-126.0,-55.0,-252.0,-325.0,-427.0,-438.0
Working Capital Days,-22.0,-17.0,-157.0,-100.0,-60.0,-72.0,-61.0,128.0
ROCE %,-9.0,4.0,47.0,36.0,41.0,42.0,,
