metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,159.0,151.0,219.0,160.0,128.0,132.0,115.0,128.0,92.0,98.0,104.0
Inventory Days,161.0,89.0,140.0,127.0,161.0,96.0,120.0,153.0,99.0,79.0,89.0
Days Payable,168.0,114.0,159.0,157.0,166.0,133.0,104.0,128.0,93.0,59.0,62.0
Cash Conversion Cycle,151.0,126.0,200.0,130.0,123.0,95.0,131.0,152.0,98.0,117.0,131.0
Working Capital Days,43.0,54.0,125.0,147.0,105.0,123.0,153.0,137.0,151.0,123.0,100.0
ROCE %,6.0,6.0,9.0,8.0,6.0,6.0,6.0,11.0,14.0,11.0,
