metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,60.0,55.0,61.0,53.0,82.0,57.0,76.0,77.0,79.0
Inventory Days,93.0,79.0,98.0,156.0,143.0,122.0,163.0,156.0,157.0
Days Payable,85.0,48.0,101.0,180.0,166.0,90.0,139.0,103.0,118.0
Cash Conversion Cycle,69.0,87.0,58.0,29.0,59.0,89.0,99.0,129.0,118.0
Working Capital Days,60.0,62.0,33.0,32.0,90.0,68.0,86.0,105.0,242.0
ROCE %,59.0,59.0,61.0,47.0,44.0,29.0,27.0,21.0,
