metric,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,120.0,156.0,105.0,97.0,85.0,71.0,92.0,97.0,67.0,73.0,93.0
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,120.0,156.0,105.0,97.0,85.0,71.0,92.0,97.0,67.0,73.0,93.0
Working Capital Days,57.0,93.0,29.0,-12.0,0.0,-12.0,309.0,321.0,323.0,122.0,141.0
ROCE %,-63.0,-53.0,-36.0,-9.0,-21.0,-8.0,2.0,6.0,10.0,,
