metric,Mar 2025,Mar 2026
Debtor Days,81.0,85.0
Inventory Days,124.0,135.0
Days Payable,77.0,105.0
Cash Conversion Cycle,128.0,116.0
Working Capital Days,120.0,115.0
ROCE %,19.0,
