metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72.0,85.0,55.0,74.0,
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,72.0,85.0,55.0,74.0,
Working Capital Days,29.0,31.0,-502.0,-618.0,
ROCE %,8.0,8.0,9.0,8.0,
