metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,21.0,18.0,20.0,32.0
Inventory Days,963.0,308.0,298.0,415.0,305.0
Days Payable,407.0,164.0,108.0,171.0,97.0
Cash Conversion Cycle,623.0,164.0,208.0,264.0,240.0
Working Capital Days,279.0,48.0,54.0,62.0,81.0
ROCE %,37.0,29.0,22.0,24.0,
