metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38.0,32.0,36.0,31.0,33.0,15.0,12.0,13.0,16.0
Inventory Days,117.0,175.0,162.0,182.0,227.0,119.0,143.0,162.0,133.0
Days Payable,92.0,112.0,97.0,104.0,123.0,68.0,80.0,71.0,68.0
Cash Conversion Cycle,63.0,95.0,101.0,109.0,138.0,65.0,76.0,105.0,81.0
Working Capital Days,68.0,120.0,100.0,99.0,79.0,40.0,46.0,36.0,44.0
ROCE %,-89.0,-10.0,4.0,-0.0,-10.0,-4.0,-0.0,1.0,
