metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,198.0,72.0,84.0,64.0,64.0,66.0,64.0,76.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,198.0,72.0,84.0,64.0,64.0,66.0,64.0,76.0
Working Capital Days,-13.0,16.0,5.0,22.0,-34.0,34.0,31.0,49.0
ROCE %,8.0,15.0,34.0,29.0,30.0,33.0,29.0,
