metric,Dec 2005,Dec 2006
Debtor Days,94.0,108.0
Inventory Days,186.0,163.0
Days Payable,170.0,139.0
Cash Conversion Cycle,111.0,133.0
Working Capital Days,112.0,128.0
ROCE %,20.0,
