metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58.0,44.0,48.0,45.0,62.0,83.0,82.0,131.0,128.0,113.0
Inventory Days,47.0,42.0,88.0,72.0,32.0,,,,,
Days Payable,127.0,106.0,490.0,347.0,171.0,,,,,
Cash Conversion Cycle,-22.0,-20.0,-354.0,-229.0,62.0,83.0,82.0,131.0,128.0,-26.0
Working Capital Days,44.0,29.0,-75.0,-89.0,-18.0,0.0,29.0,118.0,109.0,80.0
ROCE %,8.0,6.0,7.0,18.0,26.0,27.0,24.0,14.0,12.0,
