metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19.0,25.0,34.0,41.0,28.0,18.0,15.0,18.0,18.0,31.0,26.0,37.0
Inventory Days,81.0,77.0,77.0,72.0,64.0,75.0,115.0,107.0,95.0,96.0,71.0,109.0
Days Payable,12.0,8.0,10.0,21.0,35.0,29.0,44.0,7.0,14.0,10.0,5.0,7.0
Cash Conversion Cycle,88.0,94.0,101.0,91.0,58.0,65.0,87.0,119.0,99.0,117.0,92.0,139.0
Working Capital Days,34.0,35.0,24.0,18.0,4.0,16.0,32.0,40.0,43.0,66.0,78.0,115.0
ROCE %,9.0,7.0,20.0,23.0,13.0,19.0,21.0,31.0,32.0,28.0,22.0,17.0
