metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0.0,6.0,5.0,5.0,8.0
Inventory Days,174.0,,,,
Days Payable,398.0,,,,
Cash Conversion Cycle,0.0,-217.0,5.0,5.0,8.0
Working Capital Days,-82.0,-214.0,-111.0,-88.0,227.0
ROCE %,-15.0,-37.0,-2.0,4.0,
