metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,27766.0,137.0,99.0,72.0,50.0,41.0
Inventory Days,18058.0,113.0,135.0,166.0,202.0,219.0
Days Payable,31435.0,118.0,92.0,118.0,167.0,120.0
Cash Conversion Cycle,14390.0,131.0,143.0,120.0,86.0,139.0
Working Capital Days,-18756.0,13.0,33.0,19.0,63.0,69.0
ROCE %,10.0,20.0,24.0,17.0,32.0,
