metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,6.0,5.0,8.0,5.0,4.0,6.0,6.0,6.0,9.0
Inventory Days,208.0,200.0,205.0,272.0,232.0,216.0,191.0,162.0,167.0
Days Payable,31.0,19.0,24.0,35.0,26.0,37.0,45.0,39.0,40.0
Cash Conversion Cycle,184.0,187.0,189.0,241.0,210.0,185.0,153.0,129.0,136.0
Working Capital Days,-11.0,-12.0,-5.0,10.0,30.0,30.0,25.0,23.0,30.0
ROCE %,7.0,11.0,7.0,10.0,13.0,14.0,15.0,21.0,
