metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,2.0,7.0,1.0,3.0,3.0,3.0,5.0,5.0,4.0
Inventory Days,39.0,35.0,40.0,56.0,46.0,49.0,44.0,39.0,41.0
Days Payable,128.0,106.0,110.0,170.0,138.0,107.0,104.0,98.0,104.0
Cash Conversion Cycle,-87.0,-63.0,-69.0,-110.0,-89.0,-55.0,-55.0,-54.0,-59.0
Working Capital Days,-101.0,-139.0,-42.0,-87.0,-56.0,-53.0,-35.0,-33.0,-31.0
ROCE %,-5.0,1.0,-2.0,9.0,10.0,7.0,6.0,4.0,
