metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,82.0,80.0,72.0,98.0,97.0,84.0,81.0,68.0,81.0,80.0,94.0,118.0
Inventory Days,193.0,171.0,200.0,193.0,196.0,170.0,212.0,195.0,207.0,184.0,165.0,197.0
Days Payable,147.0,145.0,142.0,139.0,141.0,127.0,155.0,129.0,116.0,98.0,95.0,111.0
Cash Conversion Cycle,127.0,106.0,130.0,153.0,152.0,127.0,138.0,134.0,172.0,165.0,163.0,204.0
Working Capital Days,45.0,40.0,57.0,83.0,71.0,37.0,26.0,54.0,76.0,77.0,83.0,104.0
ROCE %,17.0,17.0,17.0,16.0,15.0,16.0,18.0,21.0,23.0,23.0,24.0,25.0
