metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,88.0,71.0,97.0,100.0,104.0,78.0,72.0,94.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,88.0,71.0,97.0,100.0,104.0,78.0,72.0,94.0
Working Capital Days,-15.0,-14.0,-14.0,12.0,-4.0,198.0,227.0,21.0
ROCE %,-4.0,-6.0,3.0,10.0,17.0,17.0,14.0,
