metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working Capital Days,-264.0,-270.0,-290.0,-341.0,-313.0,-298.0,-351.0,-354.0
ROCE %,-19.0,-10.0,-30.0,1.0,5.0,7.0,3.0,
