metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,242.0,410.0,552.0,473.0,144.0,135.0,213.0,279.0,216.0
Inventory Days,1891.0,540.0,215.0,,,,,,
Days Payable,2200.0,2029.0,758.0,,,,,,
Cash Conversion Cycle,-67.0,410.0,552.0,473.0,-1344.0,-407.0,213.0,279.0,216.0
Working Capital Days,-213.0,-784.0,-2132.0,-2799.0,-1105.0,-221.0,392.0,741.0,225.0
ROCE %,5.0,4.0,2.0,3.0,1.0,4.0,3.0,8.0,
