metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,152.0,152.0,148.0,233.0,139.0,128.0,151.0
Inventory Days,140.0,158.0,186.0,271.0,209.0,190.0,139.0
Days Payable,68.0,105.0,78.0,134.0,107.0,94.0,89.0
Cash Conversion Cycle,225.0,205.0,257.0,371.0,242.0,224.0,200.0
Working Capital Days,141.0,120.0,129.0,163.0,96.0,84.0,105.0
ROCE %,34.0,29.0,15.0,32.0,39.0,31.0,
