metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,50.0,41.0,50.0,47.0,52.0,52.0,47.0,47.0,48.0,48.0,51.0
Inventory Days,87.0,81.0,71.0,79.0,77.0,82.0,86.0,73.0,64.0,62.0,61.0
Days Payable,96.0,92.0,117.0,86.0,110.0,140.0,112.0,105.0,86.0,94.0,98.0
Cash Conversion Cycle,41.0,31.0,4.0,40.0,19.0,-6.0,22.0,15.0,25.0,15.0,13.0
Working Capital Days,57.0,45.0,31.0,52.0,30.0,3.0,38.0,26.0,75.0,78.0,108.0
ROCE %,26.0,23.0,25.0,18.0,14.0,15.0,17.0,21.0,21.0,22.0,
