metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,9.0,6.0,4.0,3.0,2.0,2.0,2.0
Inventory Days,126.0,133.0,111.0,53.0,62.0,104.0,141.0
Days Payable,18.0,15.0,27.0,12.0,10.0,13.0,22.0
Cash Conversion Cycle,117.0,124.0,89.0,44.0,55.0,94.0,121.0
Working Capital Days,-3.0,4.0,16.0,19.0,21.0,32.0,34.0
ROCE %,8.0,21.0,23.0,30.0,19.0,21.0,
