metric,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024,Mar 2026
Debtor Days,126.0,105.0,102.0,113.0,105.0,106.0,115.0,102.0,86.0,71.0,106.0,57.0
Inventory Days,78.0,69.0,69.0,70.0,74.0,73.0,101.0,104.0,99.0,95.0,101.0,60.0
Days Payable,202.0,173.0,150.0,182.0,196.0,215.0,251.0,214.0,186.0,152.0,180.0,94.0
Cash Conversion Cycle,3.0,1.0,21.0,1.0,-17.0,-36.0,-36.0,-8.0,-0.0,14.0,27.0,23.0
Working Capital Days,24.0,19.0,31.0,34.0,49.0,44.0,42.0,31.0,16.0,31.0,40.0,71.0
ROCE %,19.0,16.0,15.0,18.0,19.0,11.0,14.0,16.0,21.0,17.0,21.0,
