metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,168.0,79.0,82.0,97.0,76.0,83.0,74.0,73.0,94.0
Inventory Days,619.0,121.0,161.0,173.0,140.0,97.0,92.0,82.0,107.0
Days Payable,719.0,123.0,95.0,127.0,85.0,74.0,79.0,77.0,80.0
Cash Conversion Cycle,68.0,77.0,148.0,143.0,132.0,105.0,87.0,78.0,121.0
Working Capital Days,8.0,-35.0,48.0,79.0,87.0,62.0,50.0,118.0,156.0
ROCE %,51.0,19.0,21.0,22.0,22.0,24.0,18.0,15.0,
