metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,74.0,214.0,87.0,174.0,105.0,64.0,155.0,114.0,128.0
Inventory Days,44.0,5.0,53.0,17.0,2.0,16.0,,,
Days Payable,578.0,164.0,108.0,168.0,69.0,108.0,,,
Cash Conversion Cycle,74.0,214.0,87.0,-361.0,-54.0,9.0,3.0,47.0,37.0
Working Capital Days,-849.0,-513.0,-1059.0,-460.0,-91.0,-42.0,0.0,-11.0,11.0
ROCE %,7.0,2.0,6.0,23.0,84.0,100.0,82.0,84.0,
