metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,55.0,71.0,65.0,47.0,52.0,50.0,49.0,45.0,35.0,33.0
Inventory Days,68.0,71.0,76.0,105.0,124.0,130.0,97.0,92.0,102.0,98.0
Days Payable,54.0,76.0,73.0,67.0,94.0,69.0,62.0,62.0,67.0,71.0
Cash Conversion Cycle,68.0,66.0,68.0,85.0,83.0,112.0,85.0,75.0,70.0,60.0
Working Capital Days,58.0,70.0,65.0,74.0,71.0,88.0,55.0,41.0,43.0,50.0
ROCE %,26.0,26.0,26.0,26.0,22.0,15.0,18.0,20.0,19.0,
