metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,151.0,151.0,168.0,151.0,161.0,129.0
Inventory Days,47.0,14.0,3.0,4.0,,
Days Payable,121.0,101.0,110.0,134.0,,
Cash Conversion Cycle,77.0,64.0,61.0,151.0,161.0,-2.0
Working Capital Days,40.0,60.0,40.0,8.0,31.0,28.0
ROCE %,38.0,31.0,20.0,20.0,19.0,
