metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,113.0,3.0,3.0,6.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,113.0,3.0,3.0,6.0
Working Capital Days,3644.0,21.0,-37.0,14113.0
ROCE %,2.0,1.0,2.0,
