metric,Mar 2025,Mar 2026
Debtor Days,269.0,88.0
Inventory Days,450.0,84.0
Days Payable,389.0,116.0
Cash Conversion Cycle,329.0,56.0
Working Capital Days,250.0,34.0
ROCE %,30.0,
