metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,3.0,7.0,6.0,9.0,9.0,16.0,26.0,25.0,39.0,33.0,32.0
Inventory Days,100.0,128.0,128.0,120.0,164.0,176.0,132.0,81.0,99.0,108.0,156.0
Days Payable,55.0,52.0,52.0,55.0,44.0,84.0,60.0,35.0,39.0,61.0,56.0
Cash Conversion Cycle,48.0,83.0,81.0,74.0,129.0,108.0,98.0,71.0,98.0,80.0,133.0
Working Capital Days,0.0,28.0,32.0,33.0,39.0,22.0,17.0,-6.0,13.0,20.0,247.0
ROCE %,25.0,17.0,21.0,17.0,36.0,27.0,7.0,11.0,9.0,13.0,
