metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,82.0,60.0,69.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,68.0,82.0,60.0,69.0
Working Capital Days,23.0,100.0,97.0,100.0
ROCE %,17.0,13.0,14.0,
