metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Debtor Days,96.0,144.0,158.0,132.0,141.0,185.0
Inventory Days,351.0,165.0,235.0,209.0,135.0,94.0
Days Payable,77.0,66.0,113.0,108.0,81.0,79.0
Cash Conversion Cycle,370.0,242.0,280.0,232.0,195.0,199.0
Working Capital Days,158.0,146.0,137.0,123.0,116.0,144.0
ROCE %,19.0,17.0,17.0,21.0,,
