metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,196.0,187.0,82.0,42.0,101.0,86.0,67.0,80.0
Inventory Days,166.0,134.0,85.0,133.0,77.0,74.0,82.0,105.0
Days Payable,83.0,100.0,89.0,132.0,66.0,60.0,72.0,70.0
Cash Conversion Cycle,280.0,221.0,78.0,43.0,112.0,100.0,76.0,115.0
Working Capital Days,35.0,33.0,25.0,-50.0,14.0,13.0,-7.0,18.0
ROCE %,10.0,14.0,15.0,11.0,7.0,14.0,17.0,
