metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,3.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,3.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0
Working Capital Days,-72.0,-70.0,-64.0,-147.0,-416.0,-287.0,-141.0,-144.0,-123.0,-129.0
ROCE %,40.0,0.0,5.0,-14.0,-13.0,7.0,24.0,17.0,5.0,
