metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,62.0,66.0,74.0
Inventory Days,72.0,91.0,77.0,87.0
Days Payable,122.0,122.0,89.0,106.0
Cash Conversion Cycle,18.0,31.0,55.0,55.0
Working Capital Days,25.0,39.0,36.0,107.0
ROCE %,23.0,19.0,19.0,
