metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,181.0,152.0,173.0,130.0,132.0,110.0,139.0,167.0
Inventory Days,984.0,2784.0,1381.0,2088.0,935.0,,,
Days Payable,248.0,394.0,148.0,336.0,80.0,,,
Cash Conversion Cycle,916.0,2542.0,1407.0,1882.0,132.0,110.0,139.0,1022.0
Working Capital Days,223.0,362.0,321.0,346.0,389.0,332.0,357.0,327.0
ROCE %,20.0,21.0,19.0,15.0,9.0,11.0,11.0,
