metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,63.0,43.0,41.0,39.0,49.0,60.0
Inventory Days,116.0,97.0,95.0,76.0,77.0,82.0
Days Payable,109.0,92.0,73.0,62.0,71.0,93.0
Cash Conversion Cycle,69.0,47.0,64.0,54.0,55.0,48.0
Working Capital Days,49.0,31.0,42.0,39.0,32.0,44.0
ROCE %,88.0,44.0,48.0,43.0,39.0,
