metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,62.0,79.0,106.0
Inventory Days,139.0,110.0,242.0
Days Payable,60.0,63.0,140.0
Cash Conversion Cycle,141.0,125.0,208.0
Working Capital Days,62.0,153.0,110.0
ROCE %,21.0,16.0,
