metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,118.0,167.0,194.0,169.0,172.0,131.0,92.0
Inventory Days,66.0,58.0,70.0,84.0,86.0,61.0,89.0
Days Payable,144.0,149.0,198.0,101.0,141.0,118.0,168.0
Cash Conversion Cycle,41.0,75.0,66.0,152.0,117.0,75.0,13.0
Working Capital Days,8.0,26.0,0.0,62.0,64.0,44.0,37.0
ROCE %,16.0,2.0,13.0,22.0,26.0,31.0,
