metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24.0,21.0,20.0
Inventory Days,1209.0,,
Days Payable,415.0,,
Cash Conversion Cycle,24.0,21.0,814.0
Working Capital Days,48.0,48.0,116.0
ROCE %,10.0,11.0,
