metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,65.0,55.0,67.0,80.0,79.0
Inventory Days,114.0,69.0,82.0,121.0,129.0
Days Payable,87.0,50.0,68.0,87.0,74.0
Cash Conversion Cycle,92.0,74.0,81.0,114.0,135.0
Working Capital Days,41.0,4.0,7.0,21.0,24.0
ROCE %,11.0,14.0,20.0,29.0,
