metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0.0,0.0,0.0,0.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,0.0,0.0,0.0,0.0
Working Capital Days,-59.0,20.0,-167.0,1.0
ROCE %,-15.0,-9.0,-36.0,
