metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8.0,12.0,30.0,85.0,90.0,97.0,96.0,91.0,98.0,117.0,119.0,138.0
Inventory Days,37.0,57.0,44.0,44.0,47.0,210.0,139.0,149.0,159.0,183.0,159.0,181.0
Days Payable,112.0,168.0,155.0,144.0,76.0,57.0,68.0,102.0,84.0,116.0,103.0,125.0
Cash Conversion Cycle,-67.0,-99.0,-81.0,-16.0,61.0,251.0,166.0,138.0,173.0,184.0,175.0,194.0
Working Capital Days,-128.0,-114.0,-29.0,47.0,104.0,167.0,145.0,165.0,144.0,166.0,174.0,263.0
ROCE %,68.0,62.0,68.0,63.0,45.0,33.0,28.0,28.0,26.0,26.0,26.0,25.0
