metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,6.0,9.0,10.0,7.0,5.0,7.0,8.0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,6.0,9.0,10.0,7.0,5.0,7.0,8.0
Working Capital Days,-200.0,-322.0,-391.0,-326.0,-261.0,-274.0,-233.0
ROCE %,8.0,2.0,3.0,7.0,7.0,8.0,
