metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,59.0,68.0,61.0,71.0,55.0,38.0,33.0,32.0,28.0
Inventory Days,123.0,153.0,169.0,168.0,137.0,265.0,617.0,247.0,203.0,115.0
Days Payable,23.0,52.0,57.0,65.0,96.0,76.0,208.0,84.0,61.0,48.0
Cash Conversion Cycle,168.0,160.0,180.0,165.0,111.0,245.0,447.0,196.0,174.0,96.0
Working Capital Days,136.0,80.0,58.0,89.0,62.0,69.0,42.0,28.0,34.0,17.0
ROCE %,6.0,8.0,8.0,9.0,10.0,-4.0,-4.0,25.0,,
