metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36.0,36.0,36.0,38.0
Inventory Days,182.0,158.0,200.0,175.0
Days Payable,163.0,184.0,221.0,206.0
Cash Conversion Cycle,55.0,10.0,14.0,7.0
Working Capital Days,30.0,-2.0,9.0,-15.0
ROCE %,25.0,32.0,33.0,
