metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,86.0,41.0,143.0,115.0,124.0,93.0,115.0,112.0
Inventory Days,29.0,32.0,100.0,75.0,61.0,77.0,92.0,170.0
Days Payable,79.0,46.0,146.0,104.0,116.0,85.0,123.0,161.0
Cash Conversion Cycle,35.0,28.0,97.0,86.0,69.0,85.0,84.0,121.0
Working Capital Days,27.0,27.0,55.0,58.0,55.0,80.0,93.0,14.0
ROCE %,31.0,36.0,52.0,64.0,38.0,32.0,38.0,
