metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,17.0,17.0,18.0,20.0
Inventory Days,3.0,4.0,4.0,4.0
Days Payable,26.0,35.0,34.0,31.0
Cash Conversion Cycle,-7.0,-13.0,-11.0,-7.0
Working Capital Days,-63.0,-72.0,-66.0,-10.0
ROCE %,34.0,23.0,18.0,
