metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19.0,18.0,16.0,13.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,19.0,18.0,16.0,13.0
Working Capital Days,-215.0,-207.0,-185.0,-189.0
ROCE %,196.0,139.0,21.0,
