metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64.0,76.0,68.0,79.0,76.0,101.0,105.0,136.0
Inventory Days,86.0,119.0,74.0,191.0,140.0,71.0,120.0,106.0
Days Payable,82.0,152.0,99.0,120.0,99.0,144.0,194.0,378.0
Cash Conversion Cycle,69.0,44.0,43.0,150.0,116.0,28.0,31.0,-136.0
Working Capital Days,25.0,31.0,-6.0,62.0,-1.0,32.0,48.0,283.0
ROCE %,10.0,19.0,21.0,25.0,26.0,24.0,22.0,
