metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20.0,21.0,21.0,47.0,33.0
Inventory Days,36.0,28.0,59.0,44.0,50.0
Days Payable,1.0,0.0,1.0,3.0,6.0
Cash Conversion Cycle,55.0,49.0,80.0,88.0,77.0
Working Capital Days,20.0,6.0,14.0,25.0,28.0
ROCE %,17.0,18.0,21.0,27.0,
