metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,23.0,27.0,48.0,41.0,45.0,49.0,43.0,38.0,38.0,40.0,45.0
Inventory Days,49.0,49.0,64.0,49.0,69.0,68.0,54.0,64.0,67.0,60.0,61.0
Days Payable,82.0,77.0,91.0,69.0,70.0,106.0,80.0,79.0,83.0,72.0,78.0
Cash Conversion Cycle,-10.0,-0.0,21.0,21.0,43.0,10.0,17.0,23.0,22.0,28.0,28.0
Working Capital Days,7.0,20.0,17.0,13.0,47.0,-0.0,13.0,4.0,-49.0,-33.0,13.0
ROCE %,13.0,10.0,17.0,12.0,13.0,10.0,13.0,15.0,14.0,15.0,
