metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36.0,17.0,13.0,31.0,13.0,18.0,20.0,19.0,18.0
Inventory Days,86.0,96.0,203.0,98.0,119.0,90.0,84.0,100.0,123.0
Days Payable,69.0,41.0,79.0,35.0,69.0,63.0,91.0,97.0,133.0
Cash Conversion Cycle,53.0,72.0,136.0,94.0,63.0,45.0,12.0,22.0,8.0
Working Capital Days,30.0,36.0,65.0,45.0,53.0,-1.0,3.0,1.0,-3.0
ROCE %,28.0,11.0,27.0,44.0,15.0,11.0,12.0,13.0,
