metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,201.0,305.0,205.0,180.0,231.0,155.0,194.0
Inventory Days,421.0,546.0,597.0,594.0,612.0,553.0,478.0
Days Payable,115.0,189.0,258.0,195.0,239.0,258.0,230.0
Cash Conversion Cycle,507.0,661.0,544.0,579.0,605.0,450.0,443.0
Working Capital Days,312.0,372.0,314.0,319.0,348.0,253.0,256.0
ROCE %,8.0,9.0,11.0,12.0,14.0,14.0,
