metric,Mar 2015,Mar 2024,Mar 2025,Mar 2026
Debtor Days,48.0,49.0,54.0,46.0
Inventory Days,47.0,60.0,128.0,97.0
Days Payable,67.0,50.0,100.0,61.0
Cash Conversion Cycle,29.0,58.0,81.0,81.0
Working Capital Days,29.0,53.0,72.0,72.0
ROCE %,27.0,15.0,,
